Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.25
Loan Term (months),240
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,369650.67
Extraction Timestamp,20250727_162633
Monthly Income,"12,000.00"
Total Investment Amount,"1,305,926.36"
Total Investment Final Value,"2,800,717.80"
Total Investment Profit After Tax,"773,846.61"
Effective Annual Return After Tax,3.39%
Weighted Monthly Payment (30 years),"7,099.54"
Weighted Cost (should be ~0),-0.92
Weighted Investment Profit,"574,072.72"
Weighted Calculation Converged,Yes
