Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.0
Loan Term (months),300
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,546508.19
Extraction Timestamp,20250727_182649
Monthly Income,"12,000.00"
Total Investment Amount,"1,916,978.52"
Total Investment Final Value,"4,943,220.27"
Total Investment Profit After Tax,"1,624,716.01"
Effective Annual Return After Tax,3.38%
Weighted Monthly Payment (30 years),"6,968.87"
Weighted Cost (should be ~0),-0.15
Weighted Investment Profit,"683,021.32"
Weighted Calculation Converged,Yes
