Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.75
Loan Term (months),288
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,375020.63
Extraction Timestamp,20250727_184001
Monthly Income,"12,000.00"
Total Investment Amount,"1,876,678.04"
Total Investment Final Value,"4,801,921.17"
Total Investment Profit After Tax,"1,563,801.05"
Effective Annual Return After Tax,3.50%
Weighted Monthly Payment (30 years),"6,358.55"
Weighted Cost (should be ~0),0.13
Weighted Investment Profit,"579,322.09"
Weighted Calculation Converged,Yes
