Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.0
Loan Term (months),204
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,204
Total Mortgage Interest,474635.21
Extraction Timestamp,20250728_101204
Monthly Income,"12,000.00"
Total Investment Amount,"802,752.04"
Total Investment Final Value,"1,455,038.67"
Total Investment Profit After Tax,"327,816.57"
Effective Annual Return After Tax,3.09%
Weighted Monthly Payment (30 years),"8,364.30"
Weighted Cost (should be ~0),-0.15
Weighted Investment Profit,"645,247.82"
Weighted Calculation Converged,Yes
