Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.25
Loan Term (months),216
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,429762.27
Extraction Timestamp,20250727_182124
Monthly Income,"12,000.00"
Total Investment Amount,"980,493.39"
Total Investment Final Value,"1,890,870.90"
Total Investment Profit After Tax,"462,506.94"
Effective Annual Return After Tax,3.23%
Weighted Monthly Payment (30 years),"7,848.98"
Weighted Cost (should be ~0),-0.12
Weighted Investment Profit,"611,506.50"
Weighted Calculation Converged,Yes
