Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.25
Loan Term (months),192
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,458451.96
Extraction Timestamp,20250728_110245
Monthly Income,"12,000.00"
Total Investment Amount,"714,725.29"
Total Investment Final Value,"1,224,803.30"
Total Investment Profit After Tax,"253,610.49"
Effective Annual Return After Tax,2.96%
Weighted Monthly Payment (30 years),"8,359.79"
Weighted Cost (should be ~0),-0.60
Weighted Investment Profit,"589,274.11"
Weighted Calculation Converged,Yes
