Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.25
Loan Term (months),180
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,196439.39
Extraction Timestamp,20250727_162147
Monthly Income,"12,000.00"
Total Investment Amount,"719,671.79"
Total Investment Final Value,"1,303,194.66"
Total Investment Profit After Tax,"290,804.97"
Effective Annual Return After Tax,3.50%
Weighted Monthly Payment (30 years),"7,340.32"
Weighted Cost (should be ~0),0.29
Weighted Investment Profit,"440,328.50"
Weighted Calculation Converged,Yes
