Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),6.0
Loan Term (months),228
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,228
Total Mortgage Interest,618999.47
Extraction Timestamp,20250727_173500
Monthly Income,"12,000.00"
Total Investment Amount,"993,324.32"
Total Investment Final Value,"1,882,683.32"
Total Investment Profit After Tax,"452,347.29"
Effective Annual Return After Tax,2.97%
Weighted Monthly Payment (30 years),"8,637.64"
Weighted Cost (should be ~0),-0.88
Weighted Investment Profit,"742,674.80"
Weighted Calculation Converged,Yes
