Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.0
Loan Term (months),252
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,240330.88
Extraction Timestamp,20250727_160451
Monthly Income,"12,000.00"
Total Investment Amount,"1,567,695.28"
Total Investment Final Value,"3,585,113.41"
Total Investment Profit After Tax,"1,054,964.81"
Effective Annual Return After Tax,3.51%
Weighted Monthly Payment (30 years),"6,135.85"
Weighted Cost (should be ~0),0.38
Weighted Investment Profit,"456,305.10"
Weighted Calculation Converged,Yes
