Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.5
Loan Term (months),264
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,264
Total Mortgage Interest,321725.26
Extraction Timestamp,20250728_083958
Monthly Income,"12,000.00"
Total Investment Amount,"1,589,322.79"
Total Investment Final Value,"3,786,674.21"
Total Investment Profit After Tax,"1,158,125.45"
Effective Annual Return After Tax,3.52%
Weighted Monthly Payment (30 years),"6,598.03"
Weighted Cost (should be ~0),0.43
Weighted Investment Profit,"578,677.64"
Weighted Calculation Converged,Yes
