Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.75
Loan Term (months),300
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,614544.37
Extraction Timestamp,20250727_161223
Monthly Income,"12,000.00"
Total Investment Amount,"1,495,046.15"
Total Investment Final Value,"4,146,176.55"
Total Investment Profit After Tax,"1,433,422.53"
Effective Annual Return After Tax,3.66%
Weighted Monthly Payment (30 years),"8,434.05"
Weighted Cost (should be ~0),0.11
Weighted Investment Profit,"1,104,953.96"
Weighted Calculation Converged,Yes
