Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.25
Loan Term (months),252
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,291790.79
Extraction Timestamp,20250727_162618
Monthly Income,"12,000.00"
Total Investment Amount,"1,369,937.09"
Total Investment Final Value,"3,212,803.65"
Total Investment Profit After Tax,"965,950.95"
Effective Annual Return After Tax,3.62%
Weighted Monthly Payment (30 years),"7,013.53"
Weighted Cost (should be ~0),0.15
Weighted Investment Profit,"654,063.06"
Weighted Calculation Converged,Yes
