Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.25
Loan Term (months),264
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,264
Total Mortgage Interest,289552.73
Extraction Timestamp,20250727_153129
Monthly Income,"12,000.00"
Total Investment Amount,"1,621,495.31"
Total Investment Final Value,"3,878,786.36"
Total Investment Profit After Tax,"1,190,113.33"
Effective Annual Return After Tax,3.54%
Weighted Monthly Payment (30 years),"6,402.56"
Weighted Cost (should be ~0),-0.29
Weighted Investment Profit,"546,504.40"
Weighted Calculation Converged,Yes
