Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.0
Loan Term (months),192
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,359278.56
Extraction Timestamp,20250727_193714
Monthly Income,"12,000.00"
Total Investment Amount,"765,381.06"
Total Investment Final Value,"1,369,738.34"
Total Investment Profit After Tax,"302,131.47"
Effective Annual Return After Tax,3.21%
Weighted Monthly Payment (30 years),"7,878.77"
Weighted Cost (should be ~0),-0.65
Weighted Investment Profit,"538,618.29"
Weighted Calculation Converged,Yes
