Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.25
Loan Term (months),360
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,743468.76
Extraction Timestamp,20250727_194454
Monthly Income,"12,000.00"
Total Investment Amount,"1,709,988.74"
Total Investment Final Value,"6,506,314.03"
Total Investment Profit After Tax,"2,706,363.45"
Effective Annual Return After Tax,4.04%
Weighted Monthly Payment (30 years),"8,899.93"
Weighted Cost (should be ~0),-0.02
Weighted Investment Profit,"1,610,011.24"
Weighted Calculation Converged,Yes
