Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.25
Loan Term (months),144
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,147652.87
Extraction Timestamp,20250727_151621
Monthly Income,"12,000.00"
Total Investment Amount,"449,318.52"
Total Investment Final Value,"705,505.64"
Total Investment Profit After Tax,"124,075.61"
Effective Annual Return After Tax,3.31%
Weighted Monthly Payment (30 years),"7,271.29"
Weighted Cost (should be ~0),-0.17
Weighted Investment Profit,"278,681.31"
Weighted Calculation Converged,Yes
