Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.5
Loan Term (months),240
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,591342.33
Extraction Timestamp,20250727_192142
Monthly Income,"12,000.00"
Total Investment Amount,"1,181,230.41"
Total Investment Final Value,"2,365,553.08"
Total Investment Profit After Tax,"608,401.39"
Effective Annual Return After Tax,3.07%
Weighted Monthly Payment (30 years),"8,160.85"
Weighted Cost (should be ~0),0.68
Weighted Investment Profit,"698,770.27"
Weighted Calculation Converged,Yes
