Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.0
Loan Term (months),144
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,195222.10
Extraction Timestamp,20250727_175428
Monthly Income,"12,000.00"
Total Investment Amount,"415,820.08"
Total Investment Final Value,"639,995.70"
Total Investment Profit After Tax,"108,321.21"
Effective Annual Return After Tax,3.16%
Weighted Monthly Payment (30 years),"7,548.81"
Weighted Cost (should be ~0),-0.25
Weighted Investment Profit,"312,179.67"
Weighted Calculation Converged,Yes
