Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.25
Loan Term (months),360
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,360
Total Mortgage Interest,863120.72
Extraction Timestamp,20250729_040816
Monthly Income,"12,000.00"
Total Investment Amount,"2,253,961.15"
Total Investment Final Value,"8,022,907.83"
Total Investment Profit After Tax,"3,238,684.75"
Effective Annual Return After Tax,3.82%
Weighted Monthly Payment (30 years),"6,953.17"
Weighted Cost (should be ~0),-0.06
Weighted Investment Profit,"1,066,038.79"
Weighted Calculation Converged,Yes
