Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.5
Loan Term (months),360
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,425799.69
Extraction Timestamp,20250727_192349
Monthly Income,"12,000.00"
Total Investment Amount,"2,690,020.64"
Total Investment Final Value,"9,003,928.71"
Total Investment Profit After Tax,"3,528,670.81"
Effective Annual Return After Tax,3.62%
Weighted Monthly Payment (30 years),"5,659.05"
Weighted Cost (should be ~0),0.91
Weighted Investment Profit,"629,980.27"
Weighted Calculation Converged,Yes
