Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.25
Loan Term (months),288
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,686309.77
Extraction Timestamp,20250728_103816
Monthly Income,"12,000.00"
Total Investment Amount,"1,639,073.41"
Total Investment Final Value,"3,922,296.35"
Total Investment Profit After Tax,"1,212,535.18"
Effective Annual Return After Tax,3.23%
Weighted Monthly Payment (30 years),"7,967.35"
Weighted Cost (should be ~0),-0.17
Weighted Investment Profit,"816,926.42"
Weighted Calculation Converged,Yes
