Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.5
Loan Term (months),288
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,421458.33
Extraction Timestamp,20250727_190355
Monthly Income,"12,000.00"
Total Investment Amount,"2,034,541.67"
Total Investment Final Value,"4,994,581.95"
Total Investment Profit After Tax,"1,575,551.46"
Effective Annual Return After Tax,3.33%
Weighted Monthly Payment (30 years),"5,970.20"
Weighted Cost (should be ~0),0.24
Weighted Investment Profit,"421,458.58"
Weighted Calculation Converged,Yes
