Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.0
Loan Term (months),312
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,625792.16
Extraction Timestamp,20250727_194447
Monthly Income,"12,000.00"
Total Investment Amount,"1,805,832.38"
Total Investment Final Value,"4,999,242.43"
Total Investment Profit After Tax,"1,732,530.39"
Effective Annual Return After Tax,3.50%
Weighted Monthly Payment (30 years),"7,753.90"
Weighted Cost (should be ~0),-0.64
Weighted Investment Profit,"938,166.98"
Weighted Calculation Converged,Yes
