Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.75
Loan Term (months),348
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,348
Total Mortgage Interest,441755.38
Extraction Timestamp,20250727_180550
Monthly Income,"12,000.00"
Total Investment Amount,"2,573,740.05"
Total Investment Final Value,"8,148,499.07"
Total Investment Profit After Tax,"3,090,736.96"
Effective Annual Return After Tax,3.57%
Weighted Monthly Payment (30 years),"5,781.41"
Weighted Cost (should be ~0),-0.50
Weighted Investment Profit,"602,259.44"
Weighted Calculation Converged,Yes
