Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.25
Loan Term (months),288
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,454771.59
Extraction Timestamp,20250727_162903
Monthly Income,"12,000.00"
Total Investment Amount,"1,749,732.16"
Total Investment Final Value,"4,470,043.64"
Total Investment Profit After Tax,"1,454,206.77"
Effective Annual Return After Tax,3.49%
Weighted Monthly Payment (30 years),"6,983.70"
Weighted Cost (should be ~0),-0.47
Weighted Investment Profit,"706,267.37"
Weighted Calculation Converged,Yes
