Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.0
Loan Term (months),252
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,285179.95
Extraction Timestamp,20250727_193303
Monthly Income,"12,000.00"
Total Investment Amount,"1,170,355.02"
Total Investment Final Value,"2,907,919.29"
Total Investment Profit After Tax,"914,877.26"
Effective Annual Return After Tax,3.88%
Weighted Monthly Payment (30 years),"7,770.46"
Weighted Cost (should be ~0),-0.10
Weighted Investment Profit,"853,644.88"
Weighted Calculation Converged,Yes
