Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.5
Loan Term (months),204
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,204
Total Mortgage Interest,474237.35
Extraction Timestamp,20250727_193823
Monthly Income,"12,000.00"
Total Investment Amount,"605,984.07"
Total Investment Final Value,"1,178,845.67"
Total Investment Profit After Tax,"290,304.04"
Effective Annual Return After Tax,3.47%
Weighted Monthly Payment (30 years),"9,177.44"
Weighted Cost (should be ~0),-0.28
Weighted Investment Profit,"842,015.66"
Weighted Calculation Converged,Yes
