Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.0
Loan Term (months),240
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,611371.50
Extraction Timestamp,20250727_182418
Monthly Income,"12,000.00"
Total Investment Amount,"927,057.47"
Total Investment Final Value,"1,971,204.56"
Total Investment Profit After Tax,"540,466.51"
Effective Annual Return After Tax,3.35%
Weighted Monthly Payment (30 years),"9,147.76"
Weighted Cost (should be ~0),-0.44
Weighted Investment Profit,"952,942.10"
Weighted Calculation Converged,Yes
