Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.5
Loan Term (months),300
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,373409.48
Extraction Timestamp,20250728_084207
Monthly Income,"12,000.00"
Total Investment Amount,"1,928,359.98"
Total Investment Final Value,"5,252,895.54"
Total Investment Profit After Tax,"1,793,979.11"
Effective Annual Return After Tax,3.59%
Weighted Monthly Payment (30 years),"6,472.26"
Weighted Cost (should be ~0),0.92
Weighted Investment Profit,"671,640.94"
Weighted Calculation Converged,Yes
