Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),6.0
Loan Term (months),180
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,501878.03
Extraction Timestamp,20250727_184025
Monthly Income,"12,000.00"
Total Investment Amount,"491,107.65"
Total Investment Final Value,"788,202.98"
Total Investment Profit After Tax,"145,943.57"
Effective Annual Return After Tax,2.77%
Weighted Monthly Payment (30 years),"9,111.08"
Weighted Cost (should be ~0),0.26
Weighted Investment Profit,"668,892.61"
Weighted Calculation Converged,Yes
