Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.5
Loan Term (months),276
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,276
Total Mortgage Interest,675151.08
Extraction Timestamp,20250727_192251
Monthly Income,"12,000.00"
Total Investment Amount,"1,158,018.37"
Total Investment Final Value,"2,912,819.19"
Total Investment Profit After Tax,"933,835.85"
Effective Annual Return After Tax,3.58%
Weighted Monthly Payment (30 years),"9,237.74"
Weighted Cost (should be ~0),-0.89
Weighted Investment Profit,"1,153,980.74"
Weighted Calculation Converged,Yes
