Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.25
Loan Term (months),180
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,180
Total Mortgage Interest,390423.26
Extraction Timestamp,20250729_042644
Monthly Income,"12,000.00"
Total Investment Amount,"604,468.67"
Total Investment Final Value,"1,133,940.64"
Total Investment Profit After Tax,"264,680.64"
Effective Annual Return After Tax,3.72%
Weighted Monthly Payment (30 years),"7,931.19"
Weighted Cost (should be ~0),-0.48
Weighted Investment Profit,"555,530.85"
Weighted Calculation Converged,Yes
