Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.25
Loan Term (months),168
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,242382.48
Extraction Timestamp,20250727_154451
Monthly Income,"12,000.00"
Total Investment Amount,"684,211.85"
Total Investment Final Value,"1,126,820.45"
Total Investment Profit After Tax,"217,352.48"
Effective Annual Return After Tax,3.14%
Weighted Monthly Payment (30 years),"7,176.04"
Weighted Cost (should be ~0),0.41
Weighted Investment Profit,"331,788.56"
Weighted Calculation Converged,Yes
