Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.5
Loan Term (months),120
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,253559.72
Extraction Timestamp,20250727_191337
Monthly Income,"12,000.00"
Total Investment Amount,"12,124.33"
Total Investment Final Value,"13,512.72"
Total Investment Profit After Tax,620.91
Effective Annual Return After Tax,0.93%
Weighted Monthly Payment (30 years),"9,050.85"
Weighted Cost (should be ~0),0.17
Weighted Investment Profit,"433,389.48"
Weighted Calculation Converged,Yes
