Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),2.25
Loan Term (months),180
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,169687.50
Extraction Timestamp,20250727_151858
Monthly Income,"12,000.00"
Total Investment Amount,"990,312.50"
Total Investment Final Value,"1,702,792.49"
Total Investment Profit After Tax,"353,005.21"
Effective Annual Return After Tax,3.19%
Weighted Monthly Payment (30 years),"5,974.10"
Weighted Cost (should be ~0),-0.79
Weighted Investment Profit,"169,686.71"
Weighted Calculation Converged,Yes
