Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.0
Loan Term (months),240
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,240
Total Mortgage Interest,560017.73
Extraction Timestamp,20250729_032314
Monthly Income,"12,000.00"
Total Investment Amount,"928,882.42"
Total Investment Final Value,"2,291,691.05"
Total Investment Profit After Tax,"713,497.12"
Effective Annual Return After Tax,4.05%
Weighted Monthly Payment (30 years),"8,465.87"
Weighted Cost (should be ~0),-0.94
Weighted Investment Profit,"951,116.65"
Weighted Calculation Converged,Yes
