Parameter,Value
Loan Type,פריים
Interest Rate (%),3.75
Loan Term (months),96
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,96
Total Mortgage Interest,151562.50
Extraction Timestamp,20250727_191115
Monthly Income,"12,000.00"
Total Investment Amount,"37,718.75"
Total Investment Final Value,"41,621.69"
Total Investment Profit After Tax,"1,738.57"
Effective Annual Return After Tax,1.06%
Weighted Monthly Payment (30 years),"7,755.44"
Weighted Cost (should be ~0),-0.00
Weighted Investment Profit,"151,562.50"
Weighted Calculation Converged,Yes
