Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.75
Loan Term (months),180
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,393138.44
Extraction Timestamp,20250727_180352
Monthly Income,"12,000.00"
Total Investment Amount,"618,105.91"
Total Investment Final Value,"1,034,920.06"
Total Investment Profit After Tax,"205,923.76"
Effective Annual Return After Tax,3.02%
Weighted Monthly Payment (30 years),"8,258.56"
Weighted Cost (should be ~0),0.14
Weighted Investment Profit,"541,894.23"
Weighted Calculation Converged,Yes
