Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.75
Loan Term (months),228
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,228
Total Mortgage Interest,535052.00
Extraction Timestamp,20250727_190403
Monthly Income,"12,000.00"
Total Investment Amount,"919,927.14"
Total Investment Final Value,"1,863,983.22"
Total Investment Profit After Tax,"484,224.21"
Effective Annual Return After Tax,3.29%
Weighted Monthly Payment (30 years),"8,683.95"
Weighted Cost (should be ~0),-0.33
Weighted Investment Profit,"816,072.53"
Weighted Calculation Converged,Yes
