Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.25
Loan Term (months),300
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,770085.08
Extraction Timestamp,20250728_084054
Monthly Income,"12,000.00"
Total Investment Amount,"1,566,281.21"
Total Investment Final Value,"3,990,510.81"
Total Investment Profit After Tax,"1,300,668.05"
Effective Annual Return After Tax,3.34%
Weighted Monthly Payment (30 years),"8,647.26"
Weighted Cost (should be ~0),0.02
Weighted Investment Profit,"1,033,718.81"
Weighted Calculation Converged,Yes
