Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.0
Loan Term (months),276
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,276
Total Mortgage Interest,724735.98
Extraction Timestamp,20250727_182645
Monthly Income,"12,000.00"
Total Investment Amount,"1,182,356.65"
Total Investment Final Value,"2,878,223.64"
Total Investment Profit After Tax,"899,846.81"
Effective Annual Return After Tax,3.45%
Weighted Monthly Payment (30 years),"9,288.69"
Weighted Cost (should be ~0),-0.00
Weighted Investment Profit,"1,129,643.35"
Weighted Calculation Converged,Yes
