Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.5
Loan Term (months),120
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,266472.15
Extraction Timestamp,20250729_013421
Monthly Income,"12,000.00"
Total Investment Amount,"58,212.07"
Total Investment Final Value,"102,749.53"
Total Investment Profit After Tax,"21,586.73"
Effective Annual Return After Tax,5.08%
Weighted Monthly Payment (30 years),"8,743.25"
Weighted Cost (should be ~0),0.04
Weighted Investment Profit,"414,204.50"
Weighted Calculation Converged,Yes
