Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.75
Loan Term (months),120
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,199041.38
Extraction Timestamp,20250727_195141
Monthly Income,"12,000.00"
Total Investment Amount,"161,441.46"
Total Investment Final Value,"216,497.77"
Total Investment Profit After Tax,"25,884.38"
Effective Annual Return After Tax,2.56%
Weighted Monthly Payment (30 years),"7,993.58"
Weighted Cost (should be ~0),-0.95
Weighted Investment Profit,"278,557.59"
Weighted Calculation Converged,Yes
