Parameter,Value
Loan Type,קבועה לא צמודה
Interest Rate (%),2.75
Loan Term (months),168
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,קבועה לא צמודה
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,193645.83
Extraction Timestamp,20250727_175412
Monthly Income,"12,000.00"
Total Investment Amount,"822,354.17"
Total Investment Final Value,"1,345,978.51"
Total Investment Profit After Tax,"256,888.39"
Effective Annual Return After Tax,3.10%
Weighted Monthly Payment (30 years),"6,372.85"
Weighted Cost (should be ~0),-0.65
Weighted Investment Profit,"193,645.18"
Weighted Calculation Converged,Yes
