Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.0
Loan Term (months),132
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,132
Total Mortgage Interest,234566.63
Extraction Timestamp,20250727_185421
Monthly Income,"12,000.00"
Total Investment Amount,"261,580.70"
Total Investment Final Value,"369,931.49"
Total Investment Profit After Tax,"51,551.11"
Effective Annual Return After Tax,2.76%
Weighted Monthly Payment (30 years),"7,993.69"
Weighted Cost (should be ~0),0.59
Weighted Investment Profit,"322,419.90"
Weighted Calculation Converged,Yes
