Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.75
Loan Term (months),120
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,323992.97
Extraction Timestamp,20250727_233242
Monthly Income,"12,000.00"
Total Investment Amount,"5,159.33"
Total Investment Final Value,"5,398.20"
Total Investment Profit After Tax,104.70
Effective Annual Return After Tax,0.39%
Weighted Monthly Payment (30 years),"9,607.68"
Weighted Cost (should be ~0),0.28
Weighted Investment Profit,"503,822.84"
Weighted Calculation Converged,Yes
