Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.5
Loan Term (months),300
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,380289.21
Extraction Timestamp,20250728_085633
Monthly Income,"12,000.00"
Total Investment Amount,"1,885,668.69"
Total Investment Final Value,"5,169,201.34"
Total Investment Profit After Tax,"1,772,845.42"
Effective Annual Return After Tax,3.61%
Weighted Monthly Payment (30 years),"6,625.30"
Weighted Cost (should be ~0),-0.97
Weighted Investment Profit,"714,330.34"
Weighted Calculation Converged,Yes
