Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.75
Loan Term (months),216
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,409906.47
Extraction Timestamp,20250727_160736
Monthly Income,"12,000.00"
Total Investment Amount,"854,986.12"
Total Investment Final Value,"1,726,856.11"
Total Investment Profit After Tax,"445,188.37"
Effective Annual Return After Tax,3.46%
Weighted Monthly Payment (30 years),"8,316.93"
Weighted Cost (should be ~0),0.40
Weighted Investment Profit,"737,014.28"
Weighted Calculation Converged,Yes
