Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.5
Loan Term (months),360
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,917092.72
Extraction Timestamp,20250727_192849
Monthly Income,"12,000.00"
Total Investment Amount,"2,236,301.99"
Total Investment Final Value,"6,922,812.96"
Total Investment Profit After Tax,"2,601,954.14"
Effective Annual Return After Tax,3.38%
Weighted Monthly Payment (30 years),"8,203.25"
Weighted Cost (should be ~0),-0.72
Weighted Investment Profit,"1,083,697.29"
Weighted Calculation Converged,Yes
