Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.25
Loan Term (months),300
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,947462.21
Extraction Timestamp,20250727_190607
Monthly Income,"12,000.00"
Total Investment Amount,"933,060.08"
Total Investment Final Value,"2,729,000.97"
Total Investment Profit After Tax,"976,355.97"
Effective Annual Return After Tax,3.86%
Weighted Monthly Payment (30 years),"10,949.76"
Weighted Cost (should be ~0),-0.37
Weighted Investment Profit,"1,666,939.55"
Weighted Calculation Converged,Yes
