Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.0
Loan Term (months),252
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,229862.43
Extraction Timestamp,20250727_152040
Monthly Income,"12,000.00"
Total Investment Amount,"1,656,357.90"
Total Investment Final Value,"3,740,267.78"
Total Investment Profit After Tax,"1,088,372.88"
Effective Annual Return After Tax,3.45%
Weighted Monthly Payment (30 years),"5,767.13"
Weighted Cost (should be ~0),0.18
Weighted Investment Profit,"367,642.28"
Weighted Calculation Converged,Yes
