Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.0
Loan Term (months),324
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,324
Total Mortgage Interest,590521.09
Extraction Timestamp,20250727_233345
Monthly Income,"12,000.00"
Total Investment Amount,"1,551,846.70"
Total Investment Final Value,"5,060,906.66"
Total Investment Profit After Tax,"1,935,727.46"
Effective Annual Return After Tax,3.95%
Weighted Monthly Payment (30 years),"8,553.86"
Weighted Cost (should be ~0),-0.13
Weighted Investment Profit,"1,336,153.17"
Weighted Calculation Converged,Yes
