Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.5
Loan Term (months),300
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,402049.40
Extraction Timestamp,20250727_153441
Monthly Income,"12,000.00"
Total Investment Amount,"1,748,703.52"
Total Investment Final Value,"4,903,508.99"
Total Investment Profit After Tax,"1,706,589.17"
Effective Annual Return After Tax,3.70%
Weighted Monthly Payment (30 years),"7,111.76"
Weighted Cost (should be ~0),-0.75
Weighted Investment Profit,"851,295.74"
Weighted Calculation Converged,Yes
