Parameter,Value
Loan Type,זכאות
Interest Rate (%),6.0
Loan Term (months),192
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,515249.99
Extraction Timestamp,20250727_173323
Monthly Income,"12,000.00"
Total Investment Amount,"685,802.95"
Total Investment Final Value,"1,141,056.67"
Total Investment Profit After Tax,"225,368.08"
Effective Annual Return After Tax,2.79%
Weighted Monthly Payment (30 years),"8,639.73"
Weighted Cost (should be ~0),-0.63
Weighted Investment Profit,"618,196.42"
Weighted Calculation Converged,Yes
