Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.25
Loan Term (months),228
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,228
Total Mortgage Interest,534514.22
Extraction Timestamp,20250728_103553
Monthly Income,"12,000.00"
Total Investment Amount,"1,099,758.32"
Total Investment Final Value,"2,125,932.08"
Total Investment Profit After Tax,"523,180.33"
Effective Annual Return After Tax,3.06%
Weighted Monthly Payment (30 years),"8,002.94"
Weighted Cost (should be ~0),0.50
Weighted Investment Profit,"636,242.18"
Weighted Calculation Converged,Yes
