Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.75
Loan Term (months),360
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,1268991.79
Extraction Timestamp,20250727_235721
Monthly Income,"12,000.00"
Total Investment Amount,"1,280,824.80"
Total Investment Final Value,"4,548,755.99"
Total Investment Profit After Tax,"1,839,039.76"
Effective Annual Return After Tax,3.81%
Weighted Monthly Payment (30 years),"11,296.41"
Weighted Cost (should be ~0),-0.42
Weighted Investment Profit,"2,039,174.78"
Weighted Calculation Converged,Yes
