Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.25
Loan Term (months),348
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,348
Total Mortgage Interest,718832.22
Extraction Timestamp,20250727_181108
Monthly Income,"12,000.00"
Total Investment Amount,"2,203,779.02"
Total Investment Final Value,"6,841,470.82"
Total Investment Profit After Tax,"2,567,719.77"
Effective Annual Return After Tax,3.51%
Weighted Monthly Payment (30 years),"7,523.38"
Weighted Cost (should be ~0),0.18
Weighted Investment Profit,"972,221.16"
Weighted Calculation Converged,Yes
