Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.5
Loan Term (months),264
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,264
Total Mortgage Interest,433054.82
Extraction Timestamp,20250727_150759
Monthly Income,"12,000.00"
Total Investment Amount,"1,549,581.97"
Total Investment Final Value,"3,580,980.64"
Total Investment Profit After Tax,"1,067,572.07"
Effective Annual Return After Tax,3.39%
Weighted Monthly Payment (30 years),"7,018.35"
Weighted Cost (should be ~0),0.80
Weighted Investment Profit,"618,418.83"
Weighted Calculation Converged,Yes
