Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.5
Loan Term (months),216
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,432657.70
Extraction Timestamp,20250727_154821
Monthly Income,"12,000.00"
Total Investment Amount,"1,063,276.20"
Total Investment Final Value,"2,008,620.97"
Total Investment Profit After Tax,"478,998.49"
Effective Annual Return After Tax,3.12%
Weighted Monthly Payment (30 years),"7,537.72"
Weighted Cost (should be ~0),0.69
Weighted Investment Profit,"528,724.49"
Weighted Calculation Converged,Yes
