Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.25
Loan Term (months),192
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,214040.68
Extraction Timestamp,20250727_164140
Monthly Income,"12,000.00"
Total Investment Amount,"805,283.43"
Total Investment Final Value,"1,529,893.31"
Total Investment Profit After Tax,"364,461.64"
Effective Annual Return After Tax,3.56%
Weighted Monthly Payment (30 years),"7,377.76"
Weighted Cost (should be ~0),0.43
Weighted Investment Profit,"498,717.00"
Weighted Calculation Converged,Yes
