Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.25
Loan Term (months),216
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,203437.50
Extraction Timestamp,20250727_175855
Monthly Income,"12,000.00"
Total Investment Amount,"1,388,562.50"
Total Investment Final Value,"2,702,168.14"
Total Investment Profit After Tax,"667,746.71"
Effective Annual Return After Tax,3.27%
Weighted Monthly Payment (30 years),"5,606.51"
Weighted Cost (should be ~0),-0.73
Weighted Investment Profit,"203,436.77"
Weighted Calculation Converged,Yes
