Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.75
Loan Term (months),228
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,228
Total Mortgage Interest,709660.03
Extraction Timestamp,20250728_000522
Monthly Income,"12,000.00"
Total Investment Amount,"558,827.70"
Total Investment Final Value,"1,173,227.42"
Total Investment Profit After Tax,"316,711.51"
Effective Annual Return After Tax,3.47%
Weighted Monthly Payment (30 years),"10,525.68"
Weighted Cost (should be ~0),0.94
Weighted Investment Profit,"1,177,173.24"
Weighted Calculation Converged,Yes
