Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),5.75
Loan Term (months),300
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,721145.83
Extraction Timestamp,20250727_231229
Monthly Income,"12,000.00"
Total Investment Amount,"1,878,854.17"
Total Investment Final Value,"4,562,110.66"
Total Investment Profit After Tax,"1,430,795.14"
Effective Annual Return After Tax,3.16%
Weighted Monthly Payment (30 years),"7,606.56"
Weighted Cost (should be ~0),-0.29
Weighted Investment Profit,"721,145.54"
Weighted Calculation Converged,Yes
