Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.75
Loan Term (months),204
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,204
Total Mortgage Interest,343470.18
Extraction Timestamp,20250727_193736
Monthly Income,"12,000.00"
Total Investment Amount,"994,729.17"
Total Investment Final Value,"1,838,033.50"
Total Investment Profit After Tax,"424,665.25"
Effective Annual Return After Tax,3.19%
Weighted Monthly Payment (30 years),"7,222.78"
Weighted Cost (should be ~0),0.81
Weighted Investment Profit,"453,271.64"
Weighted Calculation Converged,Yes
